Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
37	AGE	4,505	2,563906	52	39	4,330734	55	38	MOVING	15	33
37	AGE	4,505	1,894952	53	46	4,206231	22	41	SEARCHINGDRINK	20	32
38	AGE	4,505	1,014464	65	31	4,365677	62	49	RESTING	15	34
38	HUNGER	2,504999	5,351255	38	41	4,553709	75	38	WAITING	19	31
38	HUNGER	4,505	9,169988	66	33	4,80785	53	39	MOVING	22	28
39	HUNGER	4,505	1,270154	55	42	4,601741	59	55	MOVING	17	26
40	DROWN	2,504999	6,749755	59	38	4,928446	79	44	SEARCHINGMATE	18	30
40	HUNGER	4,505	9,609494	68	47	5,411877	39	51	RESTING	20	34
40	HUNGER	4,505	8,259944	54	46	5,646462	88	58	RESTING	18	30
40	HUNGER	4,505	6,337636	54	36	5,277141	69	30	MOVING	17	25
40	HUNGER	4,505	6,855904	52	46	5,137419	76	33	MOVING	21	33
40	HUNGER	4,505	5,393229	49	46	4,86879	80	37	MOVING	23	25
40	HUNGER	4,505	8,351926	54	41	4,933723	83	54	MOVING	19	33
40	HUNGER	4,505	9,719483	41	38	5,223856	84	46	MOVING	20	30
40	HUNGER	4,505	6,803294	30	49	5,507491	93	49	MOVING	19	26
40	HUNGER	4,505	8,113827	43	44	4,859982	70	40	MOVING	16	34
40	HUNGER	4,505	3,029065	59	39	5,863123	47	52	SEARCHINGFOOD	16	29
40	HUNGER	4,505	2,214124	41	31	5,907688	41	46	MOVING	15	27
42	HUNGER	4,505	5,188203	44	35	5,002726	29	46	MOVING	15	28
43	HUNGER	2,504999	5,568634	60	35	4,42638	53	32	WAITING	15	27
44	AGE	5,005	8,627263	58	47	4,617921	74	56	DRINKING	23	29
44	AGE	5,005	9,863574	61	49	5,002862	28	54	SEARCHINGMATE	22	27
44	AGE	5,005	6,264651	54	40	4,872774	56	36	MOVING	15	25
44	AGE	5,005	3,439454	46	47	4,550291	55	52	EATING	15	32
44	AGE	5,005	1,531525	46	40	4,909132	29	51	SEARCHINGMATE	20	32
44	DROWN	0,5349997	4,947653	66	42	4,33222	52	34	SEARCHINGFOOD	16	27
45	HUNGER	3,004999	6,012072	39	37	4,55766	69	45	WAITING	17	29
45	HUNGER	3,004999	5,937033	52	39	5,462677	75	39	SEARCHINGFOOD	20	28
46	HUNGER	3,004999	8,999815	43	41	5,291553	61	48	RESTING	18	26
47	HUNGER	2,504999	4,964654	43	36	5,190625	54	44	SEARCHINGFOOD	19	25
47	HUNGER	3,004999	5,836957	29	46	5,240666	48	42	SEARCHINGFOOD	16	32
48	HUNGER	3,004999	8,454685	32	35	4,584777	52	50	RESTING	15	28
48	HUNGER	5,005	2,944044	34	39	5,17624	69	39	SEARCHINGFOOD	20	26
49	HUNGER	2,504999	3,351767	54	38	5,448223	60	54	SEARCHINGFOOD	20	29
49	HUNGER	2,504999	3,546355	47	37	4,759114	63	48	MOVING	19	30
50	HUNGER	3,004999	1,884608	45	40	5,268004	46	45	MOVING	23	35
50	DROWN	2,504999	6,308515	47	42	5,13368	86	42	SEARCHINGMATE	21	34
50	HUNGER	3,504999	8,68953	46	42	5,605051	58	41	MOVING	17	30
