Time,Bunnies
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,106
12,112
13,139
14,139
15,145
16,157
17,164
18,170
19,170
20,178
21,192
22,204
23,204
24,232
25,184
26,189
27,195
28,195
29,208
30,207
31,205
32,205
33,210
34,210
35,231
36,238
37,245
38,257
39,262
40,261
41,249
42,249
43,248
44,254
45,255
46,253
47,258
48,262
49,260
50,265
51,275
52,275
53,274
54,271
55,267
56,262
57,258
58,258
59,262
60,265
