Step;Species;DeathCause;Age;Speed;Sight;ReproductiveUrge;LifeSpan;Charm;PregnancyDuration;Status;Starving;Drying
3;Bunny;Drowned;1,505;9,217126;43;46;4,884704;75;55;SEARCHINGMATE;17;26
15;Bunny;Consumed;3,005;1,02569;53;39;5,145818;83;35;MOVING;21;30
17;Fox;Hunger;3,505;9,268865;34;49;4,978203;97;41;MOVING;16;29
17;Bunny;Hunger;3,505;9,509142;34;34;5,668087;62;33;MOVING;20;33
17;Bunny;Hunger;3,505;8,123829;51;34;5,107656;80;44;MOVING;20;26
18;Fox;Hunger;3,505;6,748059;61;41;5,420167;37;35;MOVING;24;31
18;Fox;Hunger;3,505;7,070761;52;37;5,923579;92;36;SEARCHINGFOOD;16;31
18;Bunny;Hunger;3,505;6,30624;37;47;4,368888;99;53;SEARCHINGFOOD;19;29
18;Bunny;Hunger;3,505;6,811072;68;45;5,422457;71;50;MOVING;23;33
18;Fox;Hunger;3,505;8,757125;54;38;4,922389;24;33;SEARCHINGFOOD;18;28
18;Bunny;Hunger;3,505;5,493069;41;43;4,566336;40;51;MOVING;19;32
18;Bunny;Hunger;3,505;7,605433;69;43;5,989297;71;45;MOVING;20;28
18;Bunny;Hunger;3,505;9,492848;58;43;4,821826;60;50;MOVING;23;32
18;Bunny;Hunger;3,505;8,012282;42;48;4,237405;55;56;MOVING;16;33
18;Fox;Hunger;3,505;7,844311;47;47;4,826691;91;37;MOVING;21;29
18;Fox;Hunger;3,505;5,884895;48;40;5,913848;51;42;SEARCHINGFOOD;17;27
18;Fox;Hunger;3,505;5,121346;38;35;5,750669;79;31;SEARCHINGFOOD;16;32
18;Bunny;Hunger;3,505;4,68371;43;38;4,826997;57;57;MOVING;15;33
18;Bunny;Hunger;3,505;8,572335;43;42;4,375975;21;52;SEARCHINGFOOD;17;34
18;Fox;Hunger;3,505;9,015475;52;33;4,203645;55;47;MOVING;17;30
18;Bunny;Hunger;3,505;4,962037;50;31;4,249784;61;55;RESTING;18;29
18;Bunny;Hunger;3,505;4,35669;34;41;4,215399;52;55;MOVING;20;29
18;Fox;Hunger;3,505;9,224173;69;33;5,434043;74;50;SEARCHINGFOOD;24;31
18;Fox;Hunger;3,505;5,735575;65;46;5,158545;92;46;MOVING;17;28
18;Bunny;Hunger;3,505;8,602853;66;48;5,934287;51;30;MOVING;20;27
18;Fox;Hunger;3,505;4,303992;63;41;4,964545;97;41;MOVING;17;25
18;Bunny;Hunger;3,505;6,091238;45;32;4,353794;39;30;MOVING;18;28
18;Bunny;Hunger;3,505;6,481771;55;42;4,661952;20;45;MOVING;15;31
18;Bunny;Hunger;3,505;6,365682;66;43;4,405221;35;30;MOVING;16;29
18;Bunny;Hunger;3,505;5,892613;46;37;5,949393;38;42;MOVING;18;27
18;Bunny;Hunger;3,505;3,996652;38;41;5,893752;28;48;MOVING;16;34
18;Fox;Hunger;3,505;3,828115;34;38;4,058285;78;56;SEARCHINGFOOD;15;30
18;Fox;Hunger;3,505;3,014466;64;38;4,274766;35;46;MOVING;19;26
18;Fox;Hunger;3,505;4,392865;53;31;5,536829;22;39;MOVING;23;30
18;Fox;Hunger;3,505;4,263128;38;49;5,696383;77;30;SEARCHINGFOOD;19;26
18;Bunny;Hunger;3,505;3,795121;67;45;5,196216;91;37;MOVING;24;27
18;Bunny;Hunger;3,505;2,305828;68;31;4,986167;42;39;MOVING;21;34
18;Fox;Hunger;3,505;2,028818;51;36;4,457708;96;43;SEARCHINGFOOD;22;29
18;Bunny;Hunger;3,505;2,884775;66;48;4,088391;72;31;WAITING;23;26
18;Bunny;Hunger;3,505;1,639123;43;30;5,783807;65;41;MOVING;22;31
18;Bunny;Hunger;3,505;3,012835;45;33;5,099314;77;38;MOVING;18;30
18;Bunny;Hunger;3,505;1,378802;43;44;4,691382;38;53;MOVING;17;25
18;Bunny;Hunger;3,505;2,173723;57;31;5,949251;45;49;MOVING;20;31
18;Bunny;Hunger;3,505;2,253876;54;47;5,254346;26;37;MOVING;18;28
18;Bunny;Hunger;3,505;1,233216;32;40;5,36507;80;47;MOVING;21;29
18;Bunny;Hunger;3,505;1,201356;49;47;4,689838;78;46;MOVING;23;28
18;Bunny;Hunger;3,505;1,360239;34;43;4,726955;85;35;MOVING;21;34
18;Fox;Hunger;3,505;1,508054;46;42;4,013434;90;43;MOVING;19;34
18;Fox;Hunger;3,505;1,923089;61;44;5,252148;61;42;SEARCHINGFOOD;19;32
18;Fox;Hunger;3,505;1,205752;69;35;4,041688;54;46;SEARCHINGFOOD;22;33
18;Bunny;Hunger;3,505;1,632962;57;40;4,533339;91;39;MOVING;24;29
