Time;BunnyPop;FoxPop
1;100;0
2;100;0
3;100;0
4;100;0
5;99;0
6;98;0
7;97;0
8;97;0
9;97;0
10;97;0
11;97;0
12;97;0
13;26;0
14;26;0
15;26;0
16;16;0
17;16;0
18;8;0
