Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
14	HUNGER	2,504999	6,74495	45	35	4,513843	88	55	SEARCHINGFOOD	25	30
14	HUNGER	4,505	7,899803	68	35	4,680207	80	36	RESTING	24	29
14	HUNGER	4,505	9,935666	63	49	5,950007	68	39	SEARCHINGFOOD	17	27
14	HUNGER	4,505	3,515352	51	37	5,939816	40	30	SEARCHINGFOOD	21	25
14	HUNGER	4,505	4,003568	32	37	5,691807	41	51	SEARCHINGFOOD	16	34
14	HUNGER	4,505	5,028626	59	49	5,335151	66	31	SEARCHINGFOOD	24	34
14	HUNGER	4,505	2,946246	43	33	4,518653	74	39	RESTING	16	26
14	HUNGER	4,505	4,031735	40	34	4,753593	94	39	RESTING	15	27
14	HUNGER	4,505	3,261986	30	49	5,435876	53	53	MOVING	17	33
14	HUNGER	4,505	4,095389	41	38	5,248049	89	50	SEARCHINGFOOD	24	33
14	HUNGER	4,505	4,791785	46	39	5,514823	86	34	RESTING	23	28
14	HUNGER	4,505	3,628654	42	40	4,767686	56	54	SEARCHINGFOOD	23	34
14	HUNGER	4,505	4,492768	61	46	5,154568	94	51	SEARCHINGFOOD	21	34
14	HUNGER	4,505	4,535812	36	42	4,583701	40	58	MOVING	16	33
14	HUNGER	2,504999	6,186754	47	34	4,863997	58	47	SEARCHINGFOOD	19	32
14	HUNGER	2,504999	5,647565	38	41	5,380756	47	47	WAITING	18	33
15	HUNGER	2,504999	4,857154	39	47	4,749071	51	45	WAITING	18	33
15	HUNGER	5,005	8,914884	30	33	4,950053	26	40	SEARCHINGFOOD	22	33
15	HUNGER	2,504999	8,161435	39	34	4,506702	39	43	SEARCHINGFOOD	21	30
15	AGE	5,005	8,676589	63	47	4,654087	89	40	SEARCHINGMATE	21	34
15	HUNGER	5,005	9,224756	45	42	5,47289	50	50	MOVING	24	30
15	AGE	5,005	8,785672	30	33	4,745913	47	30	SEARCHINGDRINK	23	32
15	AGE	5,005	9,138397	52	44	4,683519	30	52	SEARCHINGDRINK	16	27
15	AGE	5,005	8,692958	68	44	4,58808	38	32	SEARCHINGDRINK	15	31
15	AGE	5,005	6,402011	58	48	4,95509	32	46	SEARCHINGDRINK	24	26
15	AGE	5,005	9,779517	65	42	4,8245	75	51	SEARCHINGMATE	18	32
15	AGE	5,005	6,563749	48	49	4,707871	83	36	SEARCHINGMATE	17	26
